Üniversite,Şehir,,,
İstanbul Yeni Yüzyıl Üniversitesi,İstanbul,,,
Ataşehir Adıgüzel Meslek Yüksekokulu,İstanbul,,,
Bezmialem Vakıf Üniversitesi,İstanbul,,,
Fatih Sultan Mehmet Üniversitesi,İstanbul,,,
İstanbul 29 Mayıs Üniversitesi,İstanbul,,,
İstanbul Gedik Üniversitesi,İstanbul,,,
İstanbul Medeniyet Üniversitesi,İstanbul,,,
İstanbul Sabahattin Zaim Üniversitesi,İstanbul,,,
İstanbul Sağlık ve Sosyal Bilimler Meslek Yüksekokulu,İstanbul,,,
Türk -Alman Üniversitesi,İstanbul,,,
Altınbaş Üniversitesi,İstanbul,,,
İstanbul Gelişim Üniversitesi,İstanbul,,,
Üsküdar Üniversitesi,İstanbul,,,
İstanbul Şişli Meslek Yüksekokulu,İstanbul,,,
MEF Üniversitesi,İstanbul,,,
İstanbul Esenyurt Üniversitesi,İstanbul,,,
Biruni Üniversitesi,İstanbul,,,
İbn Haldun Üniversitesi,İstanbul,,,
İstanbul Rumeli Üniversitesi,İstanbul,,,
İstinye Üniversitesi,İstanbul,,,
Sağlık Bilimleri Üniversitesi,İstanbul,,,
Fenerbahçe Üniversitesi,İstanbul,,,
İstanbul Kent Üniversitesi,İstanbul,,,
İstanbul Topkapı Üniversitesi,İstanbul,,,
Milli Savunma Üniversitesi,İstanbul,,,
Türk-Japon Bilim ve Teknoloji Üniversitesi,İstanbul,,,
İstanbul Atlas Üniversitesi,İstanbul,,,
İstanbul Sağlık ve Teknoloji Üniversitesi,İstanbul,,,
İstanbul Üniversitesi-Cerrahpaşa,İstanbul,,,
İstanbul Galata Üniversitesi,İstanbul,,,
Kadir Has Üniversitesi,İstanbul,,,
Ege Üniversitesi,İzmir,,,
Dokuz Eylül Üniversitesi,İzmir,,,
İzmir Yüksek Teknoloji Enstitüsü,İzmir,,,
İzmir Ekonomi Üniversitesi,İzmir,,,
Yaşar Üniversitesi,İzmir,,,
İzmir Kavram Meslek Yüksekokulu,İzmir,,,
İzmir Katip Çelebi Üniversitesi,İzmir,,,
İzmir Bakırçay Üniversitesi,İzmir,,,
İzmir Demokrasi Üniversitesi,İzmir,,,
İzmir Tınaztepe Üniversitesi,İzmir,,,
Kahramanmaraş Sütçüimam Üniversitesi,Kahramanmaraş,,,
Kahramanmaraş İstiklal Üniversitesi,Kahramanmaraş,,,
Karabük Üniversitesi,Karabük,,,
Karamanoğlu Mehmetbey Üniversitesi,Karaman,,,
Kafkas Üniversitesi,Kars,,,
Kastamonu Üniversitesi,Kastamonu,,,
Erciyes Üniversitesi,Kayseri,,,
Nuh Naci Yazgan Üniversitesi,Kayseri,,,
Abdullah Gül Üniversitesi,Kayseri,,,
Kayseri Üniversitesi,Kayseri,,,
Kırıkkale Üniversitesi,Kırıkkale,,,
Kırklareli Üniversitesi,Kırklareli,,,
Kilis 7 Aralık Üniversitesi,Kilis,,,
Kocaeli Üniversitesi,Kocaeli,,,
Gebze Teknik Üniversitesi,Kocaeli,,,
Kocaeli Sağlık ve Teknoloji Üniversitesi,Kocaeli,,,
Selçuk Üniversitesi,Konya,,,
KTO Karatay Üniversitesi,Konya,,,
Necmettin Erbakan Üniversitesi,Konya,,,
Konya Gıda ve Tarım Üniversitesi,Konya,,,
Konya Teknik Üniversitesi,Konya,,,
Kütahya Dumlupınar Üniversitesi,Kütahya,,,
Kütahya Sağlık Bilimleri Üniversitesi,Kütahya,,,
İnönü Üniversitesi,Malatya,,,
Malatya Turgut Özal Üniversitesi,Malatya,,,
Manisa Celal Bayar Üniversitesi,Manisa,,,
Mardin Artuklu Üniversitesi,Mardin,,,
Mersin Üniversitesi,Mersin,,,
Çağ Üniversitesi,Mersin,,,
Toros Üniversitesi,Mersin,,,
Tarsus Üniversitesi,Mersin,,,
Muğla Sıtkı Koçman Üniversitesi,Muğla,,,
Muş Alparslan Üniversitesi,Muş,,,
Nevşehir Hacı Bektaş Veli Üniversitesi,Nevşehir,,,
Kapadokya Üniversitesi,Nevşehir,,,
Niğde Ömer Halisdemir Üniversitesi,Niğde,,,
Ordu Üniversitesi,Ordu,,,
Osmaniye Korkut Ata Üniversitesi,Osmaniye,,,
Recep Tayyip Erdoğan Üniversitesi,Rize,,,
Sakarya Üniversitesi,Sakarya,,,
Sakarya Uygulamalı Bilimler Üniversitesi,Sakarya,,,
