Üniversite,Şehir,,,
İstanbul Sabahattin Zaim Üniversitesi,İstanbul,,,
İstanbul Sağlık ve Sosyal Bilimler Meslek Yüksekokulu,İstanbul,,,
İstanbul Sağlık ve Teknoloji Üniversitesi,İstanbul,,,
İstanbul Şişli Meslek Yüksekokulu,İstanbul,,,
İstanbul Teknik Üniversitesi,İstanbul,,,
İstanbul Ticaret Üniversitesi,İstanbul,,,
İstanbul Topkapı Üniversitesi,İstanbul,,,
İstanbul Üniversitesi,İstanbul,,,
İstanbul Üniversitesi-Cerrahpaşa,İstanbul,,,
İstanbul Yeni Yüzyıl Üniversitesi,İstanbul,,,
İstinye Üniversitesi,İstanbul,,,
İzmir Bakırçay Üniversitesi,İzmir,,,
İzmir Demokrasi Üniversitesi,İzmir,,,
İzmir Ekonomi Üniversitesi,İzmir,,,
İzmir Katip Çelebi Üniversitesi,İzmir,,,
İzmir Kavram Meslek Yüksekokulu,İzmir,,,
İzmir Tınaztepe Üniversitesi,İzmir,,,
İzmir Yüksek Teknoloji Enstitüsü,İzmir,,,
Kadir Has Üniversitesi,İstanbul ,,,
Kafkas Üniversitesi,Kars,,,
Kahramanmaraş İstiklal Üniversitesi,Kahramanmaraş,,,
Kahramanmaraş Sütçüimam Üniversitesi,Kahramanmaraş,,,
Kapadokya Üniversitesi,Nevşehir,,,
Karabük Üniversitesi,Karabük,,,
Karadeniz Teknik Üniversitesi,Trabzon,,,
Karamanoğlu Mehmetbey Üniversitesi,Karaman,,,
Kastamonu Üniversitesi,Kastamonu,,,
Kayseri Üniversitesi,Kayseri,,,
Kırıkkale Üniversitesi,Kırıkkale,,,
Kırklareli Üniversitesi,Kırklareli,,,
Kilis 7 Aralık Üniversitesi,Kilis,,,
Kocaeli Sağlık ve Teknoloji Üniversitesi,Kocaeli,,,
Kırşehir Ahi Evran Üniversitesi,Kırşehir,,,
Kocaeli Üniversitesi,Kocaeli,,,
Koç Üniversitesi,İstanbul,,,
Konya Gıda ve Tarım Üniversitesi,Konya,,,
Konya Teknik Üniversitesi,Konya,,,
KTO Karatay Üniversitesi,Konya,,,
Kütahya Dumlupınar Üniversitesi,Kütahya,,,
Kütahya Sağlık Bilimleri Üniversitesi,Kütahya,,,
Lokman Hekim Üniversitesi,Ankara,,,
Malatya Turgut Özal Üniversitesi,Malatya,,,
Maltepe Üniversitesi,İstanbul,,,
Manisa Celal Bayar Üniversitesi,Manisa,,,
Mardin Artuklu Üniversitesi,Mardin,,,
Marmara Üniversitesi,İstanbul,,,
MEF Üniversitesi,İstanbul,,,
Mersin Üniversitesi,Mersin,,,
Mimar Sinan Güzel Sanatlar Üniversitesi,İstanbul,,,
Mudanya Üniversitesi,Bursa,,,
Muğla Sıtkı Koçman Üniversitesi,Muğla,,,
Munzur Üniversitesi,Tunceli,,,
Muş Alparslan Üniversitesi,Muş,,,
Necmettin Erbakan Üniversitesi,Konya,,,
Nevşehir Hacı Bektaş Veli Üniversitesi,Nevşehir,,,
Niğde Ömer Halisdemir Üniversitesi,Niğde,,,
Nuh Naci Yazgan Üniversitesi,Kayseri,,,
Ondokuz Mayıs Üniversitesi,Samsun,,,
Ordu Üniversitesi,Ordu,,,
Orta Doğu Teknik Üniversitesi,Ankara,,,
Osmaniye Korkut Ata Üniversitesi,Osmaniye,,,
Ostim Teknik Üniversitesi,Ankara,,,
Özyeğin Üniversitesi,İstanbul,,,
Pamukkale Üniversitesi,Denizli,,,
Piri Reis Üniversitesi,İstanbul,,,
Recep Tayyip Erdoğan Üniversitesi,Rize,,,
Sabancı Üniversitesi,İstanbul,,,
Sağlık Bilimleri Üniversitesi,İstanbul,,,
Sakarya Uygulamalı Bilimler Üniversitesi,Sakarya,,,
Sakarya Üniversitesi,Sakarya,,,
Samsun Üniversitesi,Samsun,,,
Sanko Üniversitesi,Gaziantep,,,
Selçuk Üniversitesi,Konya,,,
Siirt Üniversitesi,Siirt ,,,
Sinop Üniversitesi,Sinop,,,
Sivas Bilim ve Teknoloji Üniversitesi,Sivas,,,
Sivas Cumhuriyet Üniversitesi,Sivas,,,
Süleyman Demirel Üniversitesi,Isparta,,,
Şırnak Üniversitesi,Şırnak,,,
Tarsus Üniversitesi,Mersin,,,
TED Üniversitesi,Ankara,,,
Tekirdağ Namık Kemal Üniversitesi,Tekirdağ,,,
TOBB Ekonomi ve Teknoloji Üniversitesi,Ankara,,,
Tokat Gaziosmanpaşa Üniversitesi,Tokat,,,
Toros Üniversitesi,Mersin,,,
Trabzon Üniversitesi,Trabzon,,,
Trakya Üniversitesi,Edirne,,,
Türk -Alman Üniversitesi,İstanbul,,,
Türk Hava Kurumu Üniversitesi,Ankara,,,
"Türkiye Uluslarası İslam, Bilim ve Teknoloji Üniversitesi",İstanbul,,,
Ufuk Üniversitesi,Ankara,,,
Uşak Üniversitesi,Uşak,,,
Üsküdar Üniversitesi,İstanbul,,,
Van Yüzüncü Yıl Üniversitesi,Van,,,
Yalova Üniversitesi,Yalova,,,
Yaşar Üniversitesi,İzmir,,,
Yeditepe Üniversitesi,İstanbul,,,
Yıldız Teknik Üniversitesi,İstanbul,,,
Yozgat Bozok Üniversitesi,Yozgat,,,
Yüksek İhtisas Üniversitesi,Ankara,,,
Zonguldak Bülent Ecevit Üniversitesi,Zonguldak,,,
